raceId,year,round,date,name,circuitRef,country,driverRef,code,constructorRef,grid,positionOrder,points,laps,statusId,milliseconds,rank,fastestLapSpeed
616,1973,12,1973-08-19,Austrian Grand Prix,red_bull_ring,Austria,peterson,\N,team_lotus,2,1,9.0,54,1,5328780,\N,\N
578,1975,3,1975-03-01,South African Grand Prix,kyalami,South Africa,wilson_fittipaldi,\N,fittipaldi,0,27,0.0,0,81,\N,\N,\N
1042,2020,12,2020-10-25,Portuguese Grand Prix,portimao,Portugal,gasly,GAS,alphatauri,9,5,10.0,65,11,\N,9,207.952
63,2006,11,2006-07-16,French Grand Prix,magny_cours,France,ralf_schumacher,SCH,toyota,5,4,5.0,70,1,5555003,6,204.084
967,2016,20,2016-11-13,Brazilian Grand Prix,interlagos,Brazil,kevin_magnussen,MAG,renault,18,14,0.0,71,1,10912890,7,179.284
658,1969,3,1969-05-18,Monaco Grand Prix,monaco,Monaco,hill,\N,lotus-ford,4,1,9.0,80,1,7019400,\N,\N
597,1974,8,1974-06-23,Dutch Grand Prix,zandvoort,Netherlands,pescarolo,\N,brm,24,21,0.0,15,64,\N,\N,\N
407,1986,4,1986-05-11,Monaco Grand Prix,monaco,Monaco,surer,\N,arrows,17,9,0.0,75,13,\N,\N,\N
1108,2023,10,2023-07-09,British Grand Prix,silverstone,UK,kevin_magnussen,MAG,haas,19,19,0.0,31,5,\N,19,227.169
838,1950,6,1950-07-02,French Grand Prix,reims,France,rosier,\N,lago,6,12,0.0,10,25,\N,\N,\N
801,1954,3,1954-06-20,Belgian Grand Prix,spa,Belgium,moss,\N,maserati,9,3,4.0,35,11,\N,\N,\N
37,2007,2,2007-04-08,Malaysian Grand Prix,sepang,Malaysia,ralf_schumacher,SCH,toyota,9,15,0.0,55,11,\N,19,201.070
1028,2019,19,2019-11-03,United States Grand Prix,americas,USA,kubica,KUB,williams,19,19,0.0,31,44,\N,20,191.147
335,1990,15,1990-10-21,Japanese Grand Prix,suzuka,Japan,boutsen,\N,williams,5,5,2.0,53,1,5723708,\N,\N
45,2007,10,2007-07-22,European Grand Prix,nurburgring,Germany,sato,SAT,super_aguri,16,15,0.0,19,31,\N,16,190.273
134,2002,11,2002-07-21,French Grand Prix,magny_cours,France,montoya,MON,williams,1,4,3.0,72,1,5570512,\N,\N
619,1973,15,1973-10-07,United States Grand Prix,watkins_glen,USA,hunt,\N,march,4,2,6.0,59,1,6076447,\N,\N
98,2004,9,2004-06-20,United States Grand Prix,indianapolis,USA,michael_schumacher,MSC,ferrari,2,1,10.0,73,1,6029914,2,214.327
141,2001,1,2001-03-04,Australian Grand Prix,albert_park,Australia,burti,\N,jaguar,21,8,0.0,57,11,\N,\N,\N
382,1988,11,1988-08-28,Belgian Grand Prix,spa,Belgium,warwick,\N,arrows,10,5,2.0,43,1,5365904,\N,\N
852,2011,12,2011-08-28,Belgian Grand Prix,spa,Belgium,trulli,TRU,lotus_racing,18,14,0.0,43,11,\N,17,220.076
318,1991,14,1991-09-29,Spanish Grand Prix,catalunya,Spain,pirro,\N,dallara,9,15,0.0,62,13,\N,\N,\N
175,1999,1,1999-03-07,Australian Grand Prix,albert_park,Australia,herbert,\N,stewart,13,22,0.0,0,66,\N,\N,\N
913,2014,14,2014-09-21,Singapore Grand Prix,marina_bay,Singapore,button,BUT,mclaren,11,18,0.0,52,31,\N,16,160.359
345,2010,9,2010-06-27,European Grand Prix,valencia,Spain,buemi,BUE,toro_rosso,11,9,2.0,57,1,6065870,11,194.920
439,1984,4,1984-05-06,San Marino Grand Prix,imola,Italy,fabi,\N,brabham,9,15,0.0,48,101,\N,\N,\N
802,1954,4,1954-07-04,French Grand Prix,reims,France,ascari,\N,maserati,3,21,0.0,1,7,\N,\N,\N
438,1984,3,1984-04-29,Belgian Grand Prix,zolder,Belgium,tambay,\N,renault,12,7,0.0,68,12,\N,\N,\N
146,2001,6,2001-05-13,Austrian Grand Prix,red_bull_ring,Austria,irvine,\N,jaguar,13,7,0.0,70,11,\N,\N,\N
94,2004,5,2004-05-09,Spanish Grand Prix,catalunya,Spain,button,BUT,bar,14,8,1.0,65,11,\N,2,214.945
903,2014,4,2014-04-20,Chinese Grand Prix,shanghai,China,perez,PER,force_india,16,9,2.0,54,1,5690985,6,191.959
5,2009,5,2009-05-10,Spanish Grand Prix,catalunya,Spain,kovalainen,KOV,mclaren,18,16,0.0,7,6,\N,16,188.888
170,2000,13,2000-08-27,Belgian Grand Prix,spa,Belgium,wurz,WUR,benetton,19,13,0.0,43,11,\N,\N,\N
1000,2018,12,2018-07-29,Hungarian Grand Prix,hungaroring,Hungary,ocon,OCO,force_india,18,13,0.0,69,11,\N,14,190.303
62,2006,10,2006-07-02,United States Grand Prix,indianapolis,USA,massa,MAS,ferrari,2,2,8.0,73,1,5683183,2,206.859
300,1992,12,1992-08-30,Belgian Grand Prix,spa,Belgium,lehto,\N,dallara,16,7,0.0,44,1,5868958,\N,\N
336,1990,16,1990-11-04,Australian Grand Prix,adelaide,Australia,alboreto,\N,arrows,0,27,0.0,0,81,\N,\N,\N
639,1971,8,1971-08-15,Austrian Grand Prix,red_bull_ring,Austria,peterson,\N,march-ford,11,8,0.0,53,11,\N,\N,\N
632,1971,1,1971-03-06,South African Grand Prix,kyalami,South Africa,cevert,\N,tyrrell,9,16,0.0,45,3,\N,\N,\N
446,1984,11,1984-08-05,German Grand Prix,hockenheimring,Germany,rothengatter,\N,spirit,24,9,0.0,40,14,\N,\N,\N
